Date,Value,"Statut","Qualification","Méthode","Continuité"
2020-12-29T00:00:00.000Z,"6300","16",20,10,0
2020-12-30T00:00:00.000Z,"4840","16",20,10,0
2020-12-31T00:00:00.000Z,"4940","16",20,10,0
2021-01-01T00:00:00.000Z,"5710","16",20,10,0
2021-01-02T00:00:00.000Z,"5070","16",20,10,0
2021-01-03T00:00:00.000Z,"3980","16",20,10,0
2021-01-04T00:00:00.000Z,"4420","16",20,10,0
2021-01-05T00:00:00.000Z,"4360","16",20,10,0
2021-01-06T00:00:00.000Z,"3970","16",20,10,0
2021-01-07T00:00:00.000Z,"3860","16",20,10,0
2021-01-08T00:00:00.000Z,"3510","16",20,10,0
2021-01-09T00:00:00.000Z,"3340","16",20,10,0
2021-01-10T00:00:00.000Z,"3270","16",20,10,0
2021-01-11T00:00:00.000Z,"2460","16",20,10,0
2021-01-12T00:00:00.000Z,"2530","16",20,10,0
2021-01-13T00:00:00.000Z,"7870","16",20,10,0
2021-01-14T00:00:00.000Z,"13600","16",20,10,0
2021-01-15T00:00:00.000Z,"16600","16",20,10,0
2021-01-16T00:00:00.000Z,"13900","16",20,10,0
2021-01-17T00:00:00.000Z,"12600","16",20,10,0
2021-01-18T00:00:00.000Z,"13100","16",20,10,0
2021-01-19T00:00:00.000Z,"9280","16",20,10,0
2021-01-20T00:00:00.000Z,"10500","16",20,10,0
2021-01-21T00:00:00.000Z,"13200","16",20,10,0
2021-01-22T00:00:00.000Z,"16000","16",20,10,0
2021-01-23T00:00:00.000Z,"19100","16",20,10,0
2021-01-24T00:00:00.000Z,"15600","16",20,10,0
2021-01-25T00:00:00.000Z,"14300","16",20,10,0
2021-01-26T00:00:00.000Z,"11400","16",20,10,0
2021-01-27T00:00:00.000Z,"10500","16",20,10,0
2021-01-28T00:00:00.000Z,"14800","16",20,10,0
2021-01-29T00:00:00.000Z,"18500","16",20,10,0
2021-01-30T00:00:00.000Z,"16600","16",20,10,0
2021-01-31T00:00:00.000Z,"17500","16",20,10,0
2021-02-01T00:00:00.000Z,"18800","16",20,10,0
2021-02-02T00:00:00.000Z,"34900","16",20,10,0
2021-02-03T00:00:00.000Z,"28000","16",20,10,0
2021-02-04T00:00:00.000Z,"23700","16",20,10,0
2021-02-05T00:00:00.000Z,"20100","16",20,10,0
2021-02-06T00:00:00.000Z,"17600","16",20,10,0
2021-02-07T00:00:00.000Z,"18700","16",20,10,0
2021-02-08T00:00:00.000Z,"15900","16",20,10,0
2021-02-09T00:00:00.000Z,"15100","16",20,10,0
2021-02-10T00:00:00.000Z,"15700","16",20,10,0
2021-02-11T00:00:00.000Z,"14300","16",20,10,0
2021-02-12T00:00:00.000Z,"13300","16",20,10,0
2021-02-13T00:00:00.000Z,"16100","16",20,10,0
2021-02-14T00:00:00.000Z,"14500","16",20,10,0
2021-02-15T00:00:00.000Z,"12200","16",20,10,0
2021-02-16T00:00:00.000Z,"11800","16",20,10,0
2021-02-17T00:00:00.000Z,"10700","16",20,10,0
2021-02-18T00:00:00.000Z,"10300","16",20,10,0
2021-02-19T00:00:00.000Z,"9420","16",20,10,0
2021-02-20T00:00:00.000Z,"8900","16",20,10,0
2021-02-21T00:00:00.000Z,"7830","16",20,10,0
2021-02-22T00:00:00.000Z,"7990","16",20,10,0
2021-02-23T00:00:00.000Z,"7020","16",20,10,0
2021-02-24T00:00:00.000Z,"6690","16",20,10,0
2021-02-25T00:00:00.000Z,"6400","16",20,10,0
2021-02-26T00:00:00.000Z,"5600","16",20,10,0
2021-02-27T00:00:00.000Z,"5570","16",20,10,0
2021-02-28T00:00:00.000Z,"5390","16",20,10,0
2021-03-01T00:00:00.000Z,"5440","16",20,10,0
2021-03-02T00:00:00.000Z,"5130","16",20,10,0
2021-03-03T00:00:00.000Z,"4670","16",20,10,0
2021-03-04T00:00:00.000Z,"4270","16",20,10,0
2021-03-05T00:00:00.000Z,"4150","16",20,10,0
2021-03-06T00:00:00.000Z,"3840","16",20,10,0
2021-03-07T00:00:00.000Z,"3280","16",20,10,0
2021-03-08T00:00:00.000Z,"4930","16",20,10,0
2021-03-09T00:00:00.000Z,"4090","16",20,10,0
2021-03-10T00:00:00.000Z,"3370","16",20,10,0
2021-03-11T00:00:00.000Z,"3360","16",20,10,0
2021-03-12T00:00:00.000Z,"3300","16",20,10,0
2021-03-13T00:00:00.000Z,"3570","16",20,10,0
2021-03-14T00:00:00.000Z,"3550","16",20,10,0
2021-03-15T00:00:00.000Z,"3780","16",20,10,0
2021-03-16T00:00:00.000Z,"7200","16",20,10,0
2021-03-17T00:00:00.000Z,"5820","16",20,10,0
2021-03-18T00:00:00.000Z,"4910","16",20,10,0
2021-03-19T00:00:00.000Z,"4280","16",20,10,0
2021-03-20T00:00:00.000Z,"4130","16",20,10,0
2021-03-21T00:00:00.000Z,"3270","16",20,10,0
2021-03-22T00:00:00.000Z,"3670","16",20,10,0
2021-03-23T00:00:00.000Z,"3480","16",20,10,0
2021-03-24T00:00:00.000Z,"3290","16",20,10,0
2021-03-25T00:00:00.000Z,"3170","16",20,10,0
2021-03-26T00:00:00.000Z,"3050","16",20,10,0
2021-03-27T00:00:00.000Z,"4650","16",20,10,0
2021-03-28T00:00:00.000Z,"3300","16",20,10,0
2021-03-29T00:00:00.000Z,"2800","16",20,10,0
2021-03-30T00:00:00.000Z,"3040","16",20,10,0
2021-03-31T00:00:00.000Z,"2850","16",20,10,0
2021-04-01T00:00:00.000Z,"2260","16",20,10,0
2021-04-02T00:00:00.000Z,"2550","16",20,10,0
2021-04-03T00:00:00.000Z,"2430","16",20,10,0
2021-04-04T00:00:00.000Z,"2420","16",20,10,0
2021-04-05T00:00:00.000Z,"2210","16",20,10,0
2021-04-06T00:00:00.000Z,"2020","16",20,10,0
2021-04-07T00:00:00.000Z,"2290","16",20,10,0
2021-04-08T00:00:00.000Z,"2190","16",20,10,0
2021-04-09T00:00:00.000Z,"2140","16",20,10,0
2021-04-10T00:00:00.000Z,"2040","16",20,10,0
2021-04-11T00:00:00.000Z,"1350","16",20,10,0
2021-04-12T00:00:00.000Z,"5590","16",20,10,0
2021-04-13T00:00:00.000Z,"2930","16",20,10,0
2021-04-14T00:00:00.000Z,"2210","16",20,10,0
2021-04-15T00:00:00.000Z,"2170","16",20,10,0
2021-04-16T00:00:00.000Z,"2370","16",20,10,0
2021-04-17T00:00:00.000Z,"1300","16",20,10,0
2021-04-18T00:00:00.000Z,"1510","16",20,10,0
2021-04-19T00:00:00.000Z,"1980","16",20,10,0
2021-04-20T00:00:00.000Z,"1820","16",20,10,0
2021-04-21T00:00:00.000Z,"3770","16",20,10,0
2021-04-22T00:00:00.000Z,"5290","16",20,10,0
2021-04-23T00:00:00.000Z,"3040","16",20,10,0
